First	Last	Address	City	State	Zip	Phone
Len	Kellberg	1066 Second Street	Campbell	CA	95112-5827	(408) 555-4555
James	Tipton	10450 Ridgeview Court	San Jose	CA	95014	(305) 555-7711
Valoree	Brand	55 Los Gatos-Saratoga Road	San Jose	CA	95030	(408) 555-8447
Tom	Cohan	3511 Charter Park Drive	San Jose	CA	95136	(408) 555-5454
Tamera	Deveau	867 Kaynyne Street	Cupertino	CA	94063	(415) 555-4430
Chris	Lewis	14651 Big Basin Way	Los Gatos	CA	95070	(408) 555-0511
David	Randleman	4201 El Camino Real	Fremont	CA	94306	(408) 555-5020
Skeet	Shaffer	2727 Augustine Drive	Campbell	CA	95054-2902	(408) 555-6222
Rosemarie	Dallmar	46401 Landing Pky	San Jose	CA	94538	(408) 555-3400
Jim	Daschbach	6640 Redeker	Los Gatos	CA	94560	(408) 555-4616
Pete	Gabrielson	1000 Bascom Ave	Santa Clara	CA	95128	(415) 555-1300
Warren	Troedson	155 Martinvale Lane	Mountain View	CA	95119-1319	(408) 555-6900
Mr.	Van Linge	750 Palomar Ave	Los Gatos	CA	94086	(408) 555-7772
Peter	Davis	1465 Carolan Ave	Union City	CA	94010	(415) 555-0660
Tom	Koch	1405 Kennedy Drive	San Jose	CA	95035	(650) 555-2108
Paul	Pimlott	240 Grand Ave	San Jose	CA	94080	(650) 555-8222
Barbara	Rogers	230 Grand Ave	San Jose	CA	94080	(408) 555-8668
Paul	Schwarz	1084 Second Street	Morgan Hill	CA	95112-5827	(614) 555-5833
Tony	Hamilton	10495 De Anza Blvd	Gilroy	CA	95014	(408) 555-0636
Margaret	Schell	1501 Salado Drive	Mountain View	CA	94043	(408) 555-1084
Laura	Sciadarrasi	445 Mary Ave	Morgan Hill	CA	94085	(408) 555-0111
Marge	Laskey	2591 Garcia Ave	Sunnyvale	CA	94043	(415) 555-8888
Marty	Ludwig	825 Middlefield Road	Morgan Hill	CA	94043	(408) 555-2352
David	Richards	815 Middlefield Road	Mountain View	CA	94043	(408) 555-9468
Udo	Chapman	700 Middlefield Road	San Jose	CA	94043-4024	(408) 555-3080
Frank	Conklin	700 Middlefield Road	San Jose	CA	94043-4024	(415) 555-0567
Bernard	Johnson	49211 Milmont Drive	San Jose	CA	94538	(415) 555-8911
Deborah	Bludau	49251 Milmont Drive	Morgan Hill	CA	94538	(408) 555-2662
Jerry	Botto	397 Trimble Road	Gilroy	CA	95134	(408) 555-0940
Richard	Cisneros	900 Mccarthy Blvd	Gilroy	CA	95035	(408) 555-9481
Steve	Hygelund	920 Mccarthy Blvd	Los Gatos	CA	95035	(408) 555-2100
Marshall	Ritchie	820 Mccarthy Blvd	Campbell	CA	95035	(925) 555-6205
Scott	Deisz	840 Mccarthy Blvd	Los Gatos	CA	95035	(408) 555-9750
Art	Lavere	860 Mccarthy Blvd	San Jose	CA	95035	(408) 555-5432
Tom	Grammens	890 Mccarthy Blvd	Los Gatos	CA	95035	(408) 555-0713
Robert	Pitre	880 Mccarthy Blvd	San Jose	CA	95035	(408) 555-8857
Albert	Barnette	870 Mccarthy Blvd	Morgan Hill	CA	95035	(216) 555-6060
Jim	Bergen	690 Mccarthy Blvd	San Jose	CA	95035	(408) 555-2800
William	Hunter	680 Mccarthy Blvd	San Jose	CA	95035	(415) 555-5102
Joseph	Issakides	670 Mccarthy Blvd	San Jose	CA	95035	(415) 555-3600 ext. 311
Linda	Starkovich	314 Los Gatos-Saratoga Road	San Jose	CA	95030	(650) 555-3572
Larry	Morrison	9501 Jeronimo Road	San Jose	CA	92618	(203) 555-7000
Tom	Bonno	6506 Dumbarton Circle	Santa Clara	CA	94555	(415) 555-3333
Gary	Gillmor	6600 Dumbarton Circle	Gilroy	CA	94555	(510) 555-2300
Derek	Wyckoff	6550 Dumbarton Circle	San Jose	CA	94555	(650) 555-0900
Mason	Iric	620 Mccarthy Blvd	Los Gatos	CA	95035	(408) 555-5955
Mark	Kronzer	640 Mccarthy Blvd	San Jose	CA	95035	(408) 555-5588
George	Wu	660 Mccarthy Blvd	San Jose	CA	95035	(408) 555-8440
Kamal	Hamm	47669 Fremont Blvd	Santa Clara	CA	94538	(408) 555-8401
Buz Ann	Su	368 Campbell Ave	Santa Clara	CA	95008	(408) 555-6060
Ed	Tate	121 Gish Road	Santa Clara	CA	usa	(510) 555-3501
R.	Jensen	635 Pastoria Ave	Morgan Hill	CA	94085	(408) 555-9490
Howard	Bratney	1090 Arques Ave	San Jose	CA	94085	(408) 555-4200
Jack	Shaw	201 Redwood Shores Pky	Santa Clara	CA	94065	(650) 555-0650
Bill	Endersby	100 Redwood Shores Pky	Milpitas	CA	94065	(415) 555-4660
Robert	Or Steve	31801 Hayman Street	Los Altos	CA	94544	(650) 555-8728
Del	Pollak	425 National Ave	San Jose	CA	94043	(415) 555-1000
Karen	Ro	18430 Sutter Blvd	Santa Clara	CA	`	(408) 555-6657
Bruce	Meier	3090 Independence Drive	Campbell	CA	94545	(408) 555-0900
Chris	Wong	19490 Monterey Street	Mountain View	CA	95037	(415) 555-7881
Ed	Collins	6472 Camden Ave	San Jose	CA	95120	(415) 555-1306
Willing S.	Wong	203 Redwood Shores Pky	San Jose	CA	94065	(408) 555-8966
Ann	Newman	652 Bair Island Road	San Jose	CA	sam	(408) 555-8680
Cal	Newman	460 Mccarthy Drive	Gilroy	CA	95035	(510) 555-8558
Bill	Jones	490 Mccarthy Blvd	Santa Clara	CA	95035	(650) 555-0920
Mike	Kimber	430 Mccarthy Drive	San Jose	CA	95035	(408) 555-1700
Mark	Cullen	1094 Second Street	Los Gatos	CA	95112-5827	(408) 555-6433
Chris	Ward	980 Second Street	Santa Clara	CA	95112-5825	(650) 555-4433
Robert	Spangenberg	515 Whisman Road	Mountain View	CA	94043	(650) 555-2264
Cabot	Tamas	2600 Bridge Pky	Gilroy	CA	94065	(408) 555-0102
Mr. William J.	Christens	118 Santa Clara Street	San Jose	CA	95113	(408) 555-0250
Theodore	Mathews	198 Winsor Street	Morgan Hill	CA	95035	(650) 555-8600
Paul	Kordistani	1323 Great Mall Drive	Sunnyvale	CA	95035	(415) 555-1784
Gene	Nason	250 Redwood Shores Pky	San Jose	CA	94065	(415) 555-9660
Barbara	Wells	400 Mccarthy Blvd	San Jose	CA	95035	(408) 555-4830
Jack	Mackie	356 Reed Ave	San Jose	CA	95051	(415) 555-0330
Tony	Minikt	3201 Scott Blvd	Santa Clara	CA	95054	(408) 555-9140
Ellen	Komes	34750 Campus Drive	San Jose	CA	94555	(415) 555-8410
Thomas	Guinn	275 Campbell Ave	Morgan Hill	CA	95008	(847) 555-1600
Mr.	Hunter	385 Dempsey Road	San Jose	CA	95035	(408) 555-8402
Howard	White	66 Bonaventura Drive	Santa Clara	CA	95134	(408) 555-2021
Randy	Wimmer	10 Hamilton Ave	Foothill Ranch	CA	95008	(650) 555-2100
Corrin	Wimmer	2050 Logic Drive	Santa Clara	CA	95124	(408) 555-3670
Cindy	Langson	390 Lytton Ave	Mountain View	CA	94301	(415) 555-9411
Hal	Hunter	1188 Arques Ave	Santa Clara	CA	94085	(408) 555-6016
Paul	Ham	1 Results Way	San Jose	CA	95014	(408) 555-1010
Dick	Goldstein	1300 Dell Ave	San Jose	CA	95008	(408) 555-1900
Ted	Gorsky	209 Fair Oaks Ave	Santa Clara	CA	94086	(800) 555-7650
Michael De	Anderson	20425 Stevens Creek Blvd	San Jose	CA	95014	(408) 555-1444
Marrianne	Bohannon	6969 Clark Ave	Santa Clara	CA	94258	(408) 555-9600
Dave	Lico	215 Topaz Street	Gilroy	CA	95035	(408) 555-2800
Peter	Tomas	48366 Milmont Drive	San Jose	CA	94538	(408) 555-1000
Charles	Or Lisa	1630 Old Oakland	Milpitas	CA	95131	(408) 555-0693
Donna	Scully	49070 Milmont Drive	Cupertino	CA	94538	(415) 555-1100
Donald	Button	23986 Foley Street	Mountain View	CA	94545	(408) 555-4650
Ron	Bell	1582 Monterey Highway	San Jose	CA	95112	(415) 555-2060
Tom	Ravizza	1610 La Pradera Drive	Santa Clara	CA	95008	(408) 555-7900
Rick	Messinger	210 Hacienda Ave	Mountain View	CA	95008	(415) 555-0500
Gary	Kovacs	910 Hamilton Ave	Santa Clara	CA	95008	(408) 555-1314
Peter	Hiebert	138 Campbell	San Jose	CA	95008	(408) 555-1791
Victor	Ridley	470 Division Street	San Jose	CA	95008	(415) 555-0331
Mike	Or Steve	49000 Milmont Drive	Los Gatos	CA	94538	(408) 555-2155
Chris	Cook	21216 Cabot Blvd	San Jose	CA	94545	(408) 555-2200
Peter	Osborne	49063 Grimmer Blvd	Mountain View	CA	94538	(408) 555-8450
Dennis	Labetich	509 Valley Way	San Jose	CA	95035	(408) 555-3906
Steve	Simmons	992 De Anza Blvd	San Jose	CA	95129	(408) 555-7600
Peter	Or John	39812 Mission Blvd	Los Gatos	CA	94538	(408) 555-4964
Rusty	Catanzaro	47411 Fremont Blvd	Santa Clara	CA	94538	(650) 555-1000
Jim	Groomes	1696 Dell Ave	San Jose	CA	95008	(408) 555-7890
Diane	Patane	701 Middlefield Road	San Jose	CA	94043	(408) 555-8696
Phillip	Harding	125 Campbell Ave	San Jose	CA	95008	(408) 555-6700
Mark	Petrossian	48490 Milmont Drive	Gilroy	CA	94538	(408) 555-5818
Michael	Hoadury	2593 Coast Ave	Los Gatos	CA	94043	(408) 555-1888
Gordon	Klemens	33 First Street	Morgan Hill	CA	95008	(408) 555-7111
Evan	Montgomery	500 Middlefield Road	Sunnyvale	CA	94043	(408) 555-4455
John	Wong	300 Second Street	Morgan Hill	CA	95113	(408) 555-0111
Henry	Hamilton	674 Pastoria Ave	Gilroy	CA	94085	(408) 555-9600
Wayne	Hill	750 Middlefield Road	Santa Clara	CA	94043	(408) 555-8301
Bill	Mecham	2460 Samaritan Drive	Cupertino	CA	95124-3913	(415) 555-5248
Ronda	Brandon	138 Railway Ave	Mountain View	CA	95008	(408) 555-9050
William	Iwamasa	2205 Ringwood Ave	Santa Clara	CA	95131	(415) 555-4142
Brenda	Catanzargo	48900 Milmont Drive	San Jose	CA	94538	(408) 555-2582
Faye	Dempsey	1190 Park Ave	San Jose	CA	95126	(408) 555-9485
Ms. Dorthy	Bean	3003 Bunker Hill Lane	San Jose	CA	95054	(408) 555-1492
Samuel	Jonah	47300 Kato Road	Morgan Hill	CA	94538	(408) 555-4220
Richard	Sully	770 Hamilton Ave	Cupertino	CA	95008	(415) 555-5200
Mr.	Catanzaro	1919 Bascom Ave	Santa Clara	CA	95008	(408) 555-2600
Tom	Turturici	307 Orchard City Drive	Los Gatos	CA	95008	(408) 555-7300
March	Buchanan	1855 Tenth Street	Gilroy	CA	95112	(510) 555-8558
David R.	Shook-Arterberry	3140 De La Cruz Blvd	San Jose	CA	95054	(408) 555-5572
Steve	Noonan	38801 Cherry Street	Morgan Hill	CA	94560	(408) 555-5000
Edward	Swenson	2400 Moorpark	San Jose	CA	95128	(415) 555-0258
Norton	Kenelvor	730 Pastoria Ave	San Jose	CA	94085	(561) 555-9880
Paul	Marian	715 Pastoria Ave	Santa Clara	CA	94085	(650) 555-7400 Ext. 129
Dan	Gillmor	580 Pastoria Ave	San Jose	CA	94085	(415) 555-1400
Claude	Correa	1096 Second Street	Santa Clara	CA	95112-5827	(408) 555-1770
Robert	Jones	610 Pastoria Ave	Morgan Hill	CA	94085	(410) 555-4083
Soichiro	Miller	510 Pastoria Ave	Morgan Hill	CA	94085	(213) 555-1414
Al (Dr.)	Pardue	754 Pastoria Ave	Gilroy	CA	94085	(650) 555-6900
Larry	Green	324 Mary Ave	Los Gatos	CA	94085	(213) 555-6979
Wayne	D'Orazio	1101 Maude Ave	Campbell	CA	94043	(408) 555-9400 x312
Cindi	Glasco	655 Pastoria Ave	San Jose	CA	94085	(408) 555-0888
Steven	Craighea	909 Hermosa Court	Mountain View	CA	94085	(408) 555-0300
Nicholas	Green	1070 Arques Ave	Sunnyvale	CA	94085	(415) 555-7700
Jim	Petrossi	777 Pastoria Ave	Los Gatos	CA	94085	(408) 555-7111
John Ross	Ruebell	444 Oakmead Pky	Sunnyvale	CA	94086	(415) 555-1305
Peter	Stockhus	740 Arques Ave	Campbell	CA	94085	(415) 555-5999
Philip	Hurley	750 Pastoria Ave	Los Gatos	CA	94085	(408) 555-0604
Howard	Mintz	1050 Arques Ave	Gilroy	CA	94085	(408) 555-7010
Hank	Cam	595 Pastoria Ave	San Jose	CA	94085	(408) 555-6667
Jim	Or Tom MCL	860 Arques Ave	Palo Alto	CA	94085	(415) 555-2724
Lynn	Maclaughlin	2131 The Alameda	San Jose	CA	usa	(510) 555-2964
Steve	Lazarene	600 Trimble Road	Campbell	CA	95131	(408) 555-0900
Dennis	Adams	1095 Third Street	Santa Clara	CA	95112-5842	(408) 555-6810
Jim	Maclaughlin	550 Charcot Ave	Morgan Hill	CA	95131	(408) 555-0277
Kent	Danna	1210 Bascom Ave	San Jose	CA	95130	(415) 555-7400 Ext. 502
Mike	Kittl	81 Great Oaks Blvd	Santa Clara	CA	usa	(408) 555-6510
Robert	Duran	930 Mclaughlin Ave	Santa Clara	CA	usa	(949) 555-7416
Pat	Baker	211 River Oaks Pky	Gilroy	CA	95134	(415) 555-0150
Robert	Cass	957 Industrial Road	Los Gatos	CA	94070	(408) 555-0111
Harry	S.	1 Twin Dolphin Drive	San Jose	CA	94065	(408) 555-1580
Carol	Barretta	37590 Sycamore Street	Los Gatos	CA	94560	(408) 555-4466
Steve	Longinetti	455 Middlefield Road	San Jose	CA	94043	(408) 555-1919
Mark	Wong	1601 Shoreline Blvd	Santa Clara	CA	94043-1315	(408) 555-5393
Roger	Guzik	2450 Bayshore Pky	Mountain View	CA	94043	(408) 555-0676
Gary	KADO	805 Middlefield Road	Gilroy	CA	94043	(408) 555-8700
Bill	Facchino	2375 Garcia Ave	Los Gatos	CA	94043	(408) 555-1800
Frank	Kenilvort	401 Middlefield Road	San Jose	CA	94043	(408) 555-7060
Dr. Karen	Murphy	2632 Marine Way	Santa Clara	CA	94043	(415) 555-1130
Mr. Len	Taylor	335 Middlefield Road	San Jose	CA	94043	(408) 555-1234
Lynn	Taylor	2025 Garcia Ave	San Jose	CA	94043	(408) 555-0300
John	Van Leeuwen	1087 Third Street	Campbell	CA	95112-5842	(408) 555-0400
Bruce	Ruffo	2500 Garcia Ave	Santa Clara	CA	94043	(408) 555-1200
Chuck	Rudd	2685 Marine Way	Gilroy	CA	94043	(408) 555-3693
Jim	Haynes	2598 Bayshore Pky	Los Gatos	CA	94043	(415) 555-5000
Chip	Williams	1810 Mccandless Drive	Morgan Hill	CA	usa	(925) 555-1011
Debby	Thiebaut	1301 California Circle	Gilroy	CA	95035	(617) 555-3800
Jane	Trobbe	480 Vista Way	Gilroy	CA	95035-5406	(510) 555-8558
Jory	Reed	3705 Haven Ave	San Jose	CA	usa	(415) 555-1300
Shoutung	Long	2570 El Camino Real	Sunnyvale	CA	usa	(510) 555-1580
David L.	Sobell	48340 Milmont Drive	San Jose	CA	94538	(408) 555-0550
Joel	D'Angelo	48430 Milmont Drive	San Jose	CA	94538	(408) 555-4821
Kevin	Kulik	48461 Milmont Drive	Los Gatos	CA	94538	(408) 555-9191
Larry	Behrens	2875 Prune Ave	San Jose	CA	94539	(201) 555-0828
Mr.	Vais	47122 Mission Falls Court	San Jose	CA	94538	(408) 555-7133
Andrew	Mcmullan	49103 Milmont Drive	San Jose	CA	94538	(408) 555-7800
Pam	Arens	49035 Milmont Drive	Campbell	CA	94538	(408) 555-9870
Takehiko	Sutter	2199 Warm Springs Court	Santa Clara	CA	94539	(408) 555-0811
L.P.	Van Derhoff	21684 Granada Ave	Gilroy	CA	90514-5928	(408) 555-2727
Lowell	O'Malley	1081 Third Street	Cupertino	CA	95112-5842	(408) 555-8630
Ken	Martin	20330 Stevens Creek Blvd	Sunnyvale	CA	95014	(408) 555-1611
J.	Jones	150 Sunnyoaks Ave	Morgan Hill	CA	95008-6610	(213) 555-4900
Joe	Schroepfer	900 Hamilton Ave	Gilroy	CA	95008	(408) 555-1800
James	Rugiarri	2831 Faber Street	Morgan Hill	CA	94587	(415) 555-8449
Mr.	Moison	658 Pastoria Ave	San Jose	CA	94085	(408) 555-7772
Carolyn	Wright	810 Arques Ave	San Jose	CA	USA	(650) 555-8300
Tim	Wincott	430 Mary Ave	Santa Clara	CA	94085	(617) 555-3800
Chet	Such	825 Stewart Drive	Gilroy	CA	94085-4500	(408) 555-0514
Charlotte	Gibney	1306 Orleans Drive	Santa Clara	CA	94089	(408) 555-1340
John	Bryant	1311 Orleans Drive	San Jose	CA	94089	(408) 555-3900
Joel	Wuthmann	982 Second Street	San Jose	CA	95112-5825	(415) 555-9001
Clay	Tarlton	1255 Orleans Drive	San Jose	CA	94089	(650) 555-8373
Sue E.	Kuppersmith	1208 Arques Ave	Sunnyvale	CA	94085	(408) 555-1800
Warren	Merriman	974 Arques Ave	San Jose	CA	94085	(408) 555-6222
Michael	Clark	733 Pastoria Ave	Gilroy	CA	94085	(408) 555-9400 x325
Joe	Leese	639 Pastoria Ave	Los Gatos	CA	94085	(408) 555-1800
Dick	"Stearns, Jr."	690 Arques Ave	Santa Clara	CA	94085	(408) 555-6597
George	Gallegos	520 Weddell Drive	Santa Clara	CA	94089	(408) 555-8686
John	Cabral	575 Pastoria Ave	Santa Clara	CA	94085	(415) 555-7250
Melanie	Pyle	661 Arques Ave	San Jose	CA	94085	(650) 555-8000
Joe	Blackman	755 Pastoria Ave	Los Gatos	CA	94085	(408) 555-7342
Andy	Greinetz	1277 Orleans Drive	San Jose	CA	94089	(817) 555-3224
Daniel	Siracusa	910 Hermosa Court	San Jose	CA	94085	(415) 555-3399
Carter	Jacobson	743 Pastoria Ave	Milpitas	CA	94085	(408) 555-1220
Sharon	O'Brien	1330 Orleans Drive	San Jose	CA	94089	(408) 555-7622
Susan	"Cooper, Aia"	1327 Orleans Drive	Morgan Hill	CA	94089	(210) 555-3222
Eileen	McMurtry	521 Weddell Drive	San Jose	CA	94089	(415) 555-1650
Doug	Schultz	919 Hermosa Court	Campbell	CA	94085	(408) 555-0900
Ray	Freedman	750 Arques Ave	Los Gatos	CA	94085	(408) 555-4683
Amanda	Johnson	501 Macara Ave	Gilroy	CA	94086	555-9941
Samuel	Healey	1252 Orleans Drive	Morgan Hill	CA	94089	(312) 555-0020
Mia	Frazer	1234 Elko Drive	Sunnyvale	CA	usa	(415) 555-1879
George	Frazer	1299 Orleans Drive	Los Gatos	CA	94089	(408) 555-5450
Debra	"Callahan, Jr."	310 Mary Ave	Morgan Hill	CA	94085	(208) 555-8344
James	Wyllie	410 Mary Ave	San Jose	CA	94085	(408) 555-0444
Tom	Runnion	1320 Orleans Drive	Santa Clara	CA	94089	(408) 555-1145
Larry	Cabrera	623 Pastoria Ave	Sunnyvale	CA	94085	(650) 555-2700
Dave	Rosdail	642 Pastoria Ave	Los Gatos	CA	94085	(408) 555-5656
Stanley	Adrian	815 San Fernando Street	San Jose	CA	95126-4815	(650) 555-0100
R. John	Baccaglio	101 Bonaventura Drive	Milpitas	CA	95134	(510) 555-6423
Dave	Mei	2033 Samaritan Drive	San Jose	CA	95124	(408) 555-7940
Duard	Stewart	1585 Mabury Road	Campbell	CA	95133-1053	(408) 555-1311
Jack	King	828 Bascom Ave	Santa Clara	CA	95112	(415) 555-3600
William	Youngblood	2860 Zanker Road	Campbell	CA	95134-2120	(408) 555-1840
Frank	Miller	125 Market Street	San Jose	CA	95113	(415) 555-3688
Billeye	Spilker	675 First Street	Los Gatos	CA	95112-5112	(408) 555-3020
Naoya	Borgia	1555 Seventh Street	San Jose	CA	95112	(408) 555-3717
Ed	Lam	1033 Third Street	Milpitas	CA	95112-5842	(408) 555-2823
Ron	Kent	333 Santa Clara Street	Santa Clara	CA	95113	(415) 555-8333
Todd	Tobin	1935 Dry Creek Road	Los Gatos	CA	95124	(408) 555-8630
Bob	Martin	2355 Old Oakland Road	San Jose	CA	95131	(408) 555-3700
Paul	Sutter	488 Almaden Blvd	Campbell	CA	95110	(408) 555-4420
Ralph	Samuelson	1821 Saratoga Ave	San Jose	CA	95070	(415) 555-2980
Douglas	Barry	150 First Street	San Jose	CA	usa	(408) 555-9211
Hung	Barry	111 St. John Street	Santa Clara	CA	95113	(408) 555-8932
Norma	Ley	333 San Carlos Street	San Jose	CA	95113	(415) 555-3700
J.	Cortney	111 Market Street	San Jose	CA	95113	(214) 555-4102
John	Foell	1190 Bascom Ave	San Jose	CA	95128	(408) 555-9746
Rod	Comianos	55 Market Street	San Jose	CA	95113	(408) 555-9588
Michael	Whittington	100 San Fernando Street	Milpitas	CA	95113	(650) 555-6405
Eldon	"Pedersen, Jr."	255 Julian Street	Gilroy	CA	95110-24436	(916) 555-1404
Harry	Stockero	150 Almaden Blvd	Cupertino	CA	95113	(408) 555-1199
Pam	Hansen	2010 First Street	Campbell	CA	95131	(510) 555-5000
Patrick	Macfee	400 Trimble Road	Los Gatos	CA	95131	(949) 555-5000
John	Keely	6321 San Ignacio Blvd	Gilroy	CA	95119	(415) 555-3516
Bob	Maderious	5550 Scotts Valley Drive	Gilroy	CA	usa	(408) 555-3500
Darrell	Martin	101 Redwood Shores Pky	San Jose	CA	94065	(408) 555-1145
Tom	Carlson	1025 Third Street	Santa Clara	CA	95112-5842	(415) 555-1500
Jami	Harrison	3 Twin Dolphin Drive	Redwood City	CA	94065	(408) 555-5655
Richard	Pedder	2055 Woodside Road	Fremont	CA	94061	(415) 555-1000
Jack	Dolan	805 Veterans Blvd	San Jose	CA	94063	(408) 555-4888
Bill	Ruegg	10 Twin Dolphin Drive	San Jose	CA	94065	(408) 555-4885
Jason	Cruz	101 Twin Dolphin Drive	San Jose	CA	94065	(408) 555-1209
Hans-Peter	Vance	379 Lytton Ave	Los Gatos	CA	94301	(408) 555-8563
Jerry	Brice	450 San Antonio Road	Los Gatos	CA	usa	(408) 555-0300 Ext. 209
High	Petulla	1705 El Camino Real	Sunnyvale	CA	usa	(408) 555-5272
Doug	Freitas	1050 Arastradero Road	San Jose	CA	usa	(408) 555-4994
Stanley	Condrey	8450 Central Ave	Sunnyvale	CA	94560-3430	(408) 555-9595
Jim	Evans	2550 Garcia Ave	Santa Clara	CA	94043	(408) 555-8700
Christian	Fordyce	1250 Middlefield Road	San Jose	CA	94043	555-3500
Larry	Fredericks	800 Middlefield Road	San Jose	CA	94043	(408) 555-0282
Cindy	Galasso	2761 Marine Way	San Jose	CA	94043	(408) 555-5600
Domenica	Grubb	448 Middlefield Road	Mountain View	CA	94043	(408) 555-1980
Albert	Healy	2465 Latham Street	Mountain View	CA	usa	(415) 555-0960
Tim	Jones	325 Middlefield Road	San Jose	CA	94043	(408) 555-1161
Eva	Mendence	999 Montague Expy	Santa Clara	CA	95035	(408) 555-0940
Harry	Nochimson	16275 Monterey Road	Morgan Hill	CA	usa	(212) 555-3548
Dina	Noennick	149 Commonwealth Drive	San Jose	CA	usa	(408) 555-1710
Michael	Rosendin	190 Constitution Drive	Santa Clara	CA	94025	(408) 555-1111
815 Property	Rotwein	22 Santa Cruz Ave	Cupertino	CA	95030	(415) 555-5664
John	Sandlin	44901 Industrial Drive	Campbell	CA	94538	(800) 555-2623
Vickie	Shepherd	40463 Encyclopedia Circle	Mountain View	CA	94536	(650) 555-1100
Dan	Twardus	48421 Milmont Drive	Santa Clara	CA	94538	(408) 555-7740
Cindy	Walewski	48664 Milmont Drive	San Jose	CA	94538	(408) 555-4700
Charlene	Zamudio	41400 Christy Street	Sunnyvale	CA	94538	(408) 555-0136
Jeff	Zamudio	3155 Kearney Street	San Jose	CA	94538	(408) 555-8200
Rich	Scholz	49036 Milmont Drive	Los Gatos	CA	94538	(408) 555-1200
Carolyn	Sweeney	3550 Mowry Ave	Sunnyvale	CA	94538	(408) 555-9900
Tom	Gauldin	1066 Third Street	Los Gatos	CA	95112-5841	(408) 555-7000
Edward	Carsten	48499 Milmont Drive	Los Gatos	CA	94538	(408) 555-7432
Bob	Spielman	48630 Milmont Drive	Milpitas	CA	94538	(415) 555-0500
David	Moison	48909 Milmont Drive	Santa Clara	CA	94538	(415) 555-8100
Ronald	Hynes	39300 Civic Center Drive	Morgan Hill	CA	94538	(408) 555-8600
Dale	Klock	49235 Milmont Drive	Campbell	CA	94538	(408) 555-1115
Tom	Sharpe	48989 Milmont Drive	Gilroy	CA	94538	(408) 555-4900
Frank	Davis	48800 Milmont Drive	Santa Clara	CA	94538	(408) 555-9008
Jim	Evatt	39650 Liberty Street	Morgan Hill	CA	94538-2226	(408) 555-8600
Kurt G.	Gross	400 Kato Terrace	Santa Clara	CA	94538	(415) 555-6500
Joe	Bissett	2201 Walnut Ave	San Jose	CA	94538	(415) 555-0900
Ken	Clark	3340 Walnut Ave	Los Altos	CA	94538-2215	(408) 555-1510
Greg	Haupt	20300 Stevens Creek Blvd	Santa Clara	CA	95014	(415) 555-9334
John	Hollingsworth	481 Vandell Way	San Jose	CA	95008	(408) 555-9188
Ilona	Lane	905 Dell Ave	Milpitas	CA	95008	(408) 555-0607
Donald	Meeks	50 Curtner	San Jose	CA	95008	(408) 555-9050
Rod	O'Connell	1566 La Pradera	San Jose	CA	95008	(408) 555-6161
Steve	Pace	1717 Dell Ave	Milpitas	CA	95008	(408) 555-1010
Steve	Miller	700 Gale Drive	San Jose	CA	95008	(408) 555-9300
