First	Last	Address	City	State	Zip	Phone	Gender
James	Wyllie	410 Mary Ave	San Jose	CA	94085	(408) 555-0444	M
Tom	Runnion	1320 Orleans Drive	Santa Clara	CA	94089	(408) 555-1145	M
Larry	Cabrera	623 Pastoria Ave	Sunnyvale	CA	94085	(650) 555-2700	M
Dave	Rosdail	642 Pastoria Ave	Los Gatos	CA	94085	(408) 555-5656	M
Stanley	Adrian	815 San Fernando Street	San Jose	CA	95126-4815	(650) 555-0100	M
R. John	Baccaglio	101 Bonaventura Drive	Milpitas	CA	95134	(510) 555-6423	M
Dave	Mei	2033 Samaritan Drive	San Jose	CA	95124	(408) 555-7940	M
Duard	Stewart	1585 Mabury Road	Campbell	CA	95133-1053	(408) 555-1311	M
Jack	King	828 Bascom Ave	Santa Clara	CA	95112	(415) 555-3600	M
William	Youngblood	2860 Zanker Road	Campbell	CA	95134-2120	(408) 555-1840	M
Frank	Miller	125 Market Street	San Jose	CA	95113	(415) 555-3688	M
Billeye	Spilker	675 First Street	Los Gatos	CA	95112-5112	(408) 555-3020	M
Naoya	Borgia	1555 Seventh Street	San Jose	CA	95112	(408) 555-3717	F
Ed	Lam	1033 Third Street	Milpitas	CA	95112-5842	(408) 555-2823	M
Ron	Kent	333 Santa Clara Street	Santa Clara	CA	95113	(415) 555-8333	M
Todd	Tobin	1935 Dry Creek Road	Los Gatos	CA	95124	(408) 555-8630	M
Bob	Martin	2355 Old Oakland Road	San Jose	CA	95131	(408) 555-3700	M
Paul	Sutter	488 Almaden Blvd	Campbell	CA	95110	(408) 555-4420	M
Ralph	Samuelson	1821 Saratoga Ave	San Jose	CA	95070	(415) 555-2980	M
Douglas	Barry	150 First Street	San Jose	CA	usa	(408) 555-9211	M
Hung	Barry	111 St. John Street	Santa Clara	CA	95113	(408) 555-8932	M
Norma	Ley	333 San Carlos Street	San Jose	CA	95113	(415) 555-3700	F
J.	Cortney	111 Market Street	San Jose	CA	95113	(214) 555-4102	F
John	Foell	1190 Bascom Ave	San Jose	CA	95128	(408) 555-9746	M
Rod	Comianos	55 Market Street	San Jose	CA	95113	(408) 555-9588	M
Michael	Whittington	100 San Fernando Street	Milpitas	CA	95113	(650) 555-6405	M
Eldon	Pedersen, Jr.	255 Julian Street	Gilroy	CA	95110-24436	(916) 555-1404	M
Harry	Stockero	150 Almaden Blvd	Cupertino	CA	95113	(408) 555-1199	M
Pam	Hansen	2010 First Street	Campbell	CA	95131	(510) 555-5000	F
Patrick	Macfee	400 Trimble Road	Los Gatos	CA	95131	(949) 555-5000	M
John	Keely	6321 San Ignacio Blvd	Gilroy	CA	95119	(415) 555-3516	M
Bob	Maderious	5550 Scotts Valley Drive	Gilroy	CA	usa	(408) 555-3500	M
Darrell	Martin	101 Redwood Shores Pky	San Jose	CA	94065	(408) 555-1145	M
Tom	Carlson	1025 Third Street	Santa Clara	CA	95112-5842	(415) 555-1500	M
Jami	Harrison	3 Twin Dolphin Drive	Redwood City	CA	94065	(408) 555-5655	F
Richard	Pedder	2055 Woodside Road	Fremont	CA	94061	(415) 555-1000	M
Jack	Dolan	805 Veterans Blvd	San Jose	CA	94063	(408) 555-4888	M
Bill	Ruegg	10 Twin Dolphin Drive	San Jose	CA	94065	(408) 555-4885	M
Jason	Cruz	101 Twin Dolphin Drive	San Jose	CA	94065	(408) 555-1209	M
Hans-Peter	Vance	379 Lytton Ave	Los Gatos	CA	94301	(408) 555-8563	M
Jerry	Brice	450 San Antonio Road	Los Gatos	CA	usa	(408) 555-0300 Ext. 209	M
High	Petulla	1705 El Camino Real	Sunnyvale	CA	usa	(408) 555-5272	F
Doug	Freitas	1050 Arastradero Road	San Jose	CA	usa	(408) 555-4994	M
Stanley	Condrey	8450 Central Ave	Sunnyvale	CA	94560-3430	(408) 555-9595	M
Jim	Evans	2550 Garcia Ave	Santa Clara	CA	94043	(408) 555-8700	M
Christian	Fordyce	1250 Middlefield Road	San Jose	CA	94043	555-3500	M
Larry	Fredericks	800 Middlefield Road	San Jose	CA	94043	(408) 555-0282	M
Cindy	Galasso	2761 Marine Way	San Jose	CA	94043	(408) 555-5600	F
Domenica	Grubb	448 Middlefield Road	Mountain View	CA	94043	(408) 555-1980	F
Albert	Healy	2465 Latham Street	Mountain View	CA	usa	(415) 555-0960	M
Tim	Jones	325 Middlefield Road	San Jose	CA	94043	(408) 555-1161	M
Eva	Mendence	999 Montague Expy	Santa Clara	CA	95035	(408) 555-0940	F
Harry	Nochimson	16275 Monterey Road	Morgan Hill	CA	usa	(212) 555-3548	M
Dina	Noennick	149 Commonwealth Drive	San Jose	CA	usa	(408) 555-1710	F
Michael	Rosendin	190 Constitution Drive	Santa Clara	CA	94025	(408) 555-1111	M
John	Sandlin	44901 Industrial Drive	Campbell	CA	94538	(800) 555-2623	M
Vickie	Shepherd	40463 Encyclopedia Circle	Mountain View	CA	94536	(650) 555-1100	F
Dan	Twardus	48421 Milmont Drive	Santa Clara	CA	94538	(408) 555-7740	M
Cindy	Walewski	48664 Milmont Drive	San Jose	CA	94538	(408) 555-4700	F
Charlene	Zamudio	41400 Christy Street	Sunnyvale	CA	94538	(408) 555-0136	F
Jeff	Zamudio	3155 Kearney Street	San Jose	CA	94538	(408) 555-8200	M
Rich	Scholz	49036 Milmont Drive	Los Gatos	CA	94538	(408) 555-1200	M
Carolyn	Sweeney	3550 Mowry Ave	Sunnyvale	CA	94538	(408) 555-9900	F
Tom	Gauldin	1066 Third Street	Los Gatos	CA	95112-5841	(408) 555-7000	M
Edward	Carsten	48499 Milmont Drive	Los Gatos	CA	94538	(408) 555-7432	M
Bob	Spielman	48630 Milmont Drive	Milpitas	CA	94538	(415) 555-0500	M
David	Moison	48909 Milmont Drive	Santa Clara	CA	94538	(415) 555-8100	M
Ronald	Hynes	39300 Civic Center Drive	Morgan Hill	CA	94538	(408) 555-8600	M
Dale	Klock	49235 Milmont Drive	Campbell	CA	94538	(408) 555-1115	M
Tom	Sharpe	48989 Milmont Drive	Gilroy	CA	94538	(408) 555-4900	M
Frank	Davis	48800 Milmont Drive	Santa Clara	CA	94538	(408) 555-9008	M
Jim	Evatt	39650 Liberty Street	Morgan Hill	CA	94538-2226	(408) 555-8600	M
